Source,Target
1462,6366
8916,6367
1236,6367
4790,6367
1233,6367
22918,10755
2357,5603
771,9905
4501,6478
7316,771
79768,771
5597,771
57214,5362
5265,9507
27063,10049
51009,5265
3958,5265
1991,5265
10956,5265
7415,5265
5657,5265
79001,5265
3004,5265
5309,5265
4089,5265
1511,5265
6929,5265
79139,5265
22918,3827
6367,1410
50813,5473
54918,5473
5366,5473
23256,5473
213,5473
55111,5473
5597,5473
3575,5473
5473,4312
6354,2908
7316,4494
6462,4494
27063,4632
5265,354
3563,3562
51176,4316
960,4316
1673,4316
2118,4316
1839,4316
1667,4316
1672,4316
5265,7316
5265,5911
4501,367
1462,1404
1462,6347
1462,6352
2199,1462
2200,1462
7316,1462
5196,1462
5309,1462
3627,1462
6462,4495
7316,4495
1462,6402
5473,4318
1462,960
1462,6403
6367,7412
5265,6927
4501,6927
4496,6927
5473,1942
1237,6346
1230,6346
196,6346
5473,3164
5473,3577
5473,3579
2357,156
2357,5595
6367,1803
5265,821
3172,3290
80318,3290
948,3290
6927,3290
5265,1892
5265,6383
5265,5646
771,509
5265,509
771,1523
3563,604
6354,604
4496,3172
4501,3172
5265,3172
6363,6772
6354,6778
6346,6778
5473,6232
27063,10128
5265,6745
22918,7917
771,653499
4316,356
1462,6387
6367,2729
6354,2833
1462,2833
6369,1232
4495,84651
4496,84651
2357,60
5473,10890
5473,1457
1462,6364
1462,6355
1499,6354
166,6354
4313,6354
1994,6354
1230,6354
1234,6354
1232,6354
1238,6354
729230,6354
7316,4496
7013,4501
79001,4501
9611,4501
54386,4501
1994,4501
25913,4501
7316,4501
6363,4791
27063,4604
6363,10379
4499,5971
6367,5971
27063,667
6367,5970
5265,4035
5473,1762
5473,10063
1462,6404
6363,3661
9172,27063
7289,27063
7273,27063
8291,27063
84665,27063
7316,27063
397,27063
22918,55843
5473,79817
9924,4499
5265,55876
771,51109
54165,57214
5473,10658
27063,85021
5265,27248
771,114034
4316,63827
22918,55603
4496,64215
22918,57410
5265,25898
6354,9638
9034,6363
3659,6363
5970,6363
4790,6363
51554,6363
3665,6363
2826,6363
55072,6363
1236,6363
6773,6363
5971,6363
6367,6363
7316,6363
3663,6363
771,65005
5265,79003
2,56729
6354,51554
10987,22918
4615,22918
1398,22918
4316,6934
5473,29888
5473,54539
5265,56886
27063,9070
771,1616
22918,29978
27063,26060
5265,26085
5473,22820
